Date,Step Count,tavg,prcp
2024-07-14,7250,29.4,0.0
2024-07-15,10219,28.8,0.0
2024-07-16,12447,26.6,0.0
2024-07-17,14409,26.4,0.0
2024-07-18,9912,26.6,0.0
2024-07-19,9904,26.6,0.0
2024-07-20,9640,28.0,0.0
2024-07-21,8542,27.9,0.2
2024-07-22,9993,27.5,0.0
2024-07-23,7054,29.4,0.0
2024-07-24,14757,27.5,0.0
2024-07-25,10118,26.9,0.0
2024-07-26,7898,30.2,0.0
2024-07-27,10004,26.1,0.0
2024-07-28,5267,23.3,0.0
2024-07-29,12599,24.4,0.0
2024-07-30,5948,24.7,0.0
2024-07-31,10137,24.9,0.0
2024-08-01,4738,25.5,0.4
2024-08-02,10601,25.7,0.0
2024-08-03,8945,28.8,0.0
2024-08-04,8670,31.3,0.0
2024-08-05,9267,27.9,0.0
2024-08-06,9156,28.3,0.0
2024-08-07,7082,27.3,0.0
2024-08-08,4963,25.3,0.0
2024-08-09,10997,23.6,0.0
2024-08-10,3894,24.5,0.2
2024-08-11,4667,24.6,0.2
2024-08-12,8574,25.4,0.0
2024-08-13,6916,25.6,0.0
2024-08-14,12347,26.5,0.0
2024-08-15,10590,26.2,0.0
2024-08-16,11644,25.8,0.0
2024-08-17,2722,27.5,0.0
2024-08-18,6025,27.3,0.0
2024-08-19,3879,27.4,0.1
2024-08-20,6587,27.9,0.0
2024-08-21,1110,27.7,0.0
2024-08-22,5910,28.9,0.0
2024-08-23,6990,28.2,0.0
2024-08-24,5975,27.3,0.0
2024-08-25,4278,27.3,0.0
2024-08-26,1255,27.8,0.0
2024-08-27,4558,26.2,0.0
2024-08-28,3410,26.1,0.0
2024-08-29,8965,27.3,0.0
2024-08-30,4804,26.5,0.0
2024-08-31,2984,27.0,0.0
2024-09-01,3370,26.5,1.1
2024-09-02,7064,26.7,0.0
2024-09-03,2786,26.4,0.0
2024-09-04,3290,25.1,0.0
2024-09-05,5548,25.2,0.2
2024-09-06,3891,25.5,0.0
2024-09-07,804,25.7,0.0
2024-09-08,9714,25.5,0.0
2024-09-09,4995,23.9,0.0
2024-09-10,5947,23.6,0.0
2024-09-11,1307,22.5,0.0
2024-09-12,4717,22.5,0.0
2024-09-13,5739,22.7,0.0
2024-09-14,2114,22.5,0.0
2024-09-15,13413,22.4,0.0
2024-09-16,7583,23.5,0.0
2024-09-17,18219,23.9,0.0
2024-09-18,4465,22.6,0.0
2024-09-19,3208,22.8,0.0
2024-09-20,5704,21.7,0.0
2024-09-21,4719,21.7,0.0
2024-09-22,8440,22.0,0.0
2024-09-23,10292,24.9,0.0
2024-09-24,10353,25.5,0.0
2024-09-25,10541,24.0,0.0
2024-09-26,6656,24.1,0.0
2024-09-27,6497,23.3,0.0
2024-09-28,4281,22.1,10.9
2024-09-29,4899,21.1,1.8
2024-09-30,8180,21.1,6.2
2024-10-01,9373,19.4,14.2
2024-10-02,8676,20.3,9.1
2024-10-03,6967,20.0,0.0
2024-10-04,6533,19.3,0.0
2024-10-05,17210,19.2,0.0
2024-10-06,5658,19.9,0.0
2024-10-07,9983,20.8,0.0
2024-10-08,7335,19.6,0.0
2024-10-09,9775,17.9,0.0
2024-10-10,6868,17.1,0.0
2024-10-11,7928,16.9,0.2
2024-10-12,4266,18.4,0.0
2024-10-13,8339,17.6,0.0
2024-10-14,7135,19.2,0.0
2024-10-15,5978,18.1,0.0
2024-10-16,4950,16.9,2.2
2024-10-17,4817,16.5,0.0
2024-10-18,10394,15.8,8.0
2024-10-19,6171,16.0,0.0
2024-10-20,3607,19.3,0.0
2024-10-21,9033,20.6,0.0
2024-10-22,8721,20.1,0.0
2024-10-23,11688,20.2,0.0
2024-10-24,7813,18.8,0.0
2024-10-25,15659,19.5,0.0
2024-10-26,5707,21.8,0.6
2024-10-27,4990,21.3,0.0
2024-10-28,4734,22.4,0.0
2024-10-29,5394,21.0,0.0
2024-10-30,5787,20.6,0.0
2024-10-31,9003,19.2,0.0
2024-11-01,10901,20.1,0.0
2024-11-02,10454,18.1,21.5
2024-11-03,5850,18.9,0.4
2024-11-04,8486,23.4,4.9
2024-11-05,8334,19.4,3.3
2024-11-06,12456,20.8,0.0
2024-11-07,8938,19.6,0.0
2024-11-08,6075,18.8,0.0
2024-11-09,5844,15.3,6.3
2024-11-10,7060,14.7,0.0
2024-11-11,5486,19.0,23.6
2024-11-12,10645,17.7,0.0
2024-11-13,4292,15.5,28.4
2024-11-14,8638,13.2,0.0
2024-11-15,10145,17.7,0.0
2024-11-16,8023,14.2,30.1
2024-11-17,2120,15.0,0.0
2024-11-18,8717,12.0,43.1
2024-11-19,6634,5.3,16.7
2024-11-20,6338,11.5,1.9
2024-11-21,7984,14.6,0.0
2024-11-22,10009,16.8,1.5
2024-11-23,3513,13.7,5.6
2024-11-24,3019,15.5,2.3
2024-11-25,6874,16.9,0.0
2024-11-26,8478,9.0,7.8
2024-11-27,4709,5.1,0.0
2024-11-28,6423,11.4,2.8
2024-11-29,9955,14.7,48.5
2024-11-30,5090,11.4,5.2
